1,2,3,SUCK MY COCK
2,4,5,Google programming languages; Do any of them appeal to you right now?
3,2,6,Try to turn it on; Did it turn on?
4,35,36,Well it has to be python! What else could be appealing!; Have you learnt python before?
5,41,42,Not surprising got to be dinner time now right!; Fancy takeaway?
6,7,8,Is it broken?
7,100,100,Sent it to a technician; wait for it to return home fixed.
8,9,61,Do you think its time for a new pc/laptop?
9,62,10,Time to watch a bunch of reviews on YouTube that you won't remember?
10,11,12,Time to watch some videos on how to program Java then?
11,20,21,Right Java it is then!; Did you watch some videos?
12,13,14,On c#?
13,20,21,Right c# it is then!; Did you watch some videos?
14,15,16,On c++?
15,20,21,Right c++ it is then!; Did you watch some videos?
